LoggerBefore,DeviceTime,Light,Setpoint,Intensity,LoggerAfter
1589810482.876873016,1589803283.344036102,0,0,0,1589810482.876873016
1589810482.876873016,1589803283.351950884,0,0,0,1589810482.876873016
1589810482.891872406,1589803283.359921932,0,0,0,1589810482.891872406
1589810482.891872406,1589803283.367899895,0,0,0,1589810482.891872406
1589810482.931959867,1589803283.377454996,0,0,0,1589810482.931959867
1589810482.931959867,1589803283.385907888,0,0,0,1589810482.931959867
1589810482.931959867,1589803283.394387007,0,0,0,1589810482.931959867
1589810482.931959867,1589803283.404444933,0,0,0,1589810482.931959867
1589810482.931959867,1589803283.413037062,0,0,0,1589810482.931959867
1589810483.011235237,1589803283.422261000,0,0,0,1589810483.011235237
1589810483.011235237,1589803283.430654049,0,0,0,1589810483.011235237
1589810483.011235237,1589803283.438708067,0,0,0,1589810483.011235237
1589810483.011235237,1589803283.446712971,0,0,0,1589810483.011235237
1589810483.012235403,1589803283.454700947,0,0,0,1589810483.012235403
1589810483.064283133,1589803283.462861061,0,0,0,1589810483.064283133
1589810483.064283133,1589803283.472877979,0,0,0,1589810483.064283133
1589810483.064283133,1589803283.481265068,0,0,0,1589810483.064283133
1589810483.064283133,1589803283.489226103,0,0,0,1589810483.064283133
1589810483.064283133,1589803283.497462988,0,0,0,1589810483.064283133
1589810483.064283133,1589803283.505774975,0,0,0,1589810483.064283133
1589810483.064283133,1589803283.515183926,0,0,0,1589810483.064283133
1589810483.064283133,1589803283.524054050,0,0,0,1589810483.064283133
1589810483.064283133,1589803283.532047987,0,0,0,1589810483.064283133
1589810483.091294765,1589803283.539952040,0,0,0,1589810483.091294765
1589810483.092283964,1589803283.547923088,0,0,0,1589810483.092283964
1589810483.092283964,1589803283.555879116,0,0,0,1589810483.092283964
1589810483.132313490,1589803283.565438032,0,0,0,1589810483.132313490
1589810483.132313490,1589803283.573925972,0,0,0,1589810483.132313490
1589810483.132313490,1589803283.581955910,0,0,0,1589810483.132313490
1589810483.132313490,1589803283.590002060,0,0,0,1589810483.132313490
1589810483.132313490,1589803283.597951889,0,0,0,1589810483.132313490
1589810483.132313490,1589803283.606626987,0,0,0,1589810483.132313490
1589810483.132313490,1589803283.614800930,0,0,0,1589810483.132313490
1589810483.215282679,1589803283.624396086,0,0,0,1589810483.215282679
1589810483.296284199,1589803283.633196115,0,0,0,1589810483.296284199
1589810483.296284199,1589803283.641208887,0,0,0,1589810483.296284199
1589810483.296284199,1589803283.649204016,0,0,0,1589810483.296284199
1589810483.296284199,1589803283.657190084,0,0,0,1589810483.296284199
1589810483.296284199,1589803283.665132999,0,0,0,1589810483.296284199
1589810483.296284199,1589803283.673069000,0,0,0,1589810483.296284199
1589810483.296284199,1589803283.681018114,0,0,0,1589810483.296284199
1589810483.296284199,1589803283.688961029,0,0,0,1589810483.296284199
1589810483.312283039,1589803283.696959019,0,0,0,1589810483.312283039
1589810483.312283039,1589803283.706238985,0,0,0,1589810483.312283039
1589810483.312283039,1589803283.715661049,0,0,0,1589810483.312283039
1589810483.312283039,1589803283.723887920,0,0,0,1589810483.312283039
1589810483.312283039,1589803283.731913090,0,0,0,1589810483.312283039
1589810483.312283039,1589803283.739924908,0,0,0,1589810483.312283039
1589810483.312283039,1589803283.747864008,0,0,0,1589810483.313282967
1589810483.313282967,1589803283.755857944,0,0,0,1589810483.313282967
1589810483.313282967,1589803283.763871908,0,0,0,1589810483.313282967
1589810483.352287054,1589803283.772078037,0,0,0,1589810483.352287054
1589810483.372300863,1589803283.780009031,0,0,0,1589810483.372300863
1589810483.372300863,1589803283.789351940,0,0,0,1589810483.372300863
1589810483.372300863,1589803283.797689915,0,0,0,1589810483.372300863
1589810483.372300863,1589803283.805855036,0,0,0,1589810483.372300863
1589810483.373283386,1589803283.815552950,0,0,0,1589810483.373283386
1589810483.373283386,1589803283.823875904,0,0,0,1589810483.373283386
1589810483.373283386,1589803283.831885099,0,0,0,1589810483.373283386
1589810483.373283386,1589803283.839951992,0,0,0,1589810483.373283386
1589810483.373283386,1589803283.847927094,0,0,0,1589810483.373283386
1589810483.412283182,1589803283.855940104,0,0,0,1589810483.412283182
1589810483.454580784,1589803283.863950014,0,0,0,1589810483.454580784
1589810483.454580784,1589803283.873249054,0,0,0,1589810483.454580784
1589810483.455580711,1589803283.881613970,0,0,0,1589810483.455580711
1589810483.455580711,1589803283.889712095,0,0,0,1589810483.455580711
1589810483.455580711,1589803283.897908926,0,0,0,1589810483.455580711
1589810483.455580711,1589803283.906338930,0,0,0,1589810483.455580711
1589810483.455580711,1589803283.915199041,0,0,0,1589810483.455580711
1589810483.455580711,1589803283.923418045,0,0,0,1589810483.455580711
1589810483.455580711,1589803283.931451082,0,0,0,1589810483.455580711
1589810483.493580580,1589803283.939466953,0,0,0,1589810483.493580580
1589810483.539580107,1589803283.947580099,0,0,0,1589810483.539580107
1589810483.621111631,1589803283.956891060,0,0,0,1589810483.621111631
1589810483.621111631,1589803283.965260029,0,0,0,1589810483.621111631
1589810483.621111631,1589803283.974142075,0,0,0,1589810483.621111631
1589810483.621111631,1589803283.982302904,0,0,0,1589810483.621111631
1589810483.621111631,1589803283.990274906,0,0,0,1589810483.621111631
1589810483.621111631,1589803283.998264074,0,0,0,1589810483.621111631
1589810483.621111631,1589803284.006252050,0,0,0,1589810483.621111631
1589810483.621111631,1589803284.014841080,0,0,0,1589810483.622020245
1589810483.622020245,1589803284.023036957,0,0,0,1589810483.622020245
1589810483.627911329,1589803284.031044006,0,0,0,1589810483.627911329
1589810483.627911329,1589803284.040260077,0,0,0,1589810483.627911329
1589810483.627911329,1589803284.048645973,0,0,0,1589810483.627911329
1589810483.627911329,1589803284.057259083,0,0,0,1589810483.627911329
1589810483.628811359,1589803284.065535069,0,0,0,1589810483.628811359
1589810483.628811359,1589803284.073669910,0,0,0,1589810483.628811359
1589810483.628811359,1589803284.081835032,0,0,0,1589810483.628811359
1589810483.628811359,1589803284.089863062,0,0,0,1589810483.628811359
1589810483.628811359,1589803284.097919941,0,0,0,1589810483.628811359
1589810483.672787189,1589803284.105922937,0,0,0,1589810483.672787189
1589810483.756307125,1589803284.114476919,0,0,0,1589810483.756307125
1589810483.756307125,1589803284.124010086,0,0,0,1589810483.756307125
1589810483.756307125,1589803284.132272005,0,0,0,1589810483.756307125
1589810483.756307125,1589803284.140918970,0,0,0,1589810483.756307125
1589810483.756307125,1589803284.149183035,0,0,0,1589810483.756307125
1589810483.756307125,1589803284.157206059,0,0,0,1589810483.756307125
1589810483.756307125,1589803284.165241003,0,0,0,1589810483.756307125
1589810483.756307125,1589803284.173199892,0,0,0,1589810483.756307125
1589810483.756307125,1589803284.181190014,0,0,0,1589810483.756307125
1589810483.792637110,1589803284.189181089,0,0,0,1589810483.792637110
1589810483.792637110,1589803284.198376894,0,0,0,1589810483.792637110
1589810483.792637110,1589803284.206887007,0,0,0,1589810483.792637110
1589810483.792637110,1589803284.215312004,0,0,0,1589810483.792637110
1589810483.792637110,1589803284.224286079,0,0,0,1589810483.792637110
1589810483.792637110,1589803284.232534885,0,0,0,1589810483.792637110
1589810483.792637110,1589803284.240636110,0,0,0,1589810483.792637110
1589810483.792637110,1589803284.248815060,0,0,0,1589810483.792637110
1589810483.792637110,1589803284.256899118,0,0,0,1589810483.792637110
1589810483.834884405,1589803284.264959097,0,0,0,1589810483.835890293
1589810483.868658781,1589803284.272955894,0,0,0,1589810483.868658781
1589810483.868658781,1589803284.282320023,0,0,0,1589810483.868658781
1589810483.868658781,1589803284.290683031,0,0,0,1589810483.868658781
1589810483.868658781,1589803284.299664974,0,0,0,1589810483.868658781
1589810483.868658781,1589803284.307842016,0,0,0,1589810483.868658781
1589810483.868658781,1589803284.316040993,0,0,0,1589810483.868658781
1589810483.868658781,1589803284.324784040,0,0,0,1589810483.868658781
1589810483.868658781,1589803284.332902908,0,0,0,1589810483.868658781
1589810483.868658781,1589803284.341073990,0,0,0,1589810483.868658781
1589810483.911652803,1589803284.349109888,0,0,0,1589810483.911652803
1589810483.949046135,1589803284.357074022,0,0,0,1589810483.949046135
1589810483.949046135,1589803284.366308928,0,0,0,1589810483.949046135
1589810483.949046135,1589803284.374691010,0,0,0,1589810483.949046135
1589810483.949046135,1589803284.382843018,0,0,0,1589810483.949046135
1589810483.949046135,1589803284.391902924,0,0,0,1589810483.949046135
1589810483.949046135,1589803284.400052071,0,0,0,1589810483.949046135
1589810483.949046135,1589803284.407948017,0,0,0,1589810483.949046135
1589810483.949046135,1589803284.415941000,0,0,0,1589810483.949046135
1589810483.949046135,1589803284.424587965,0,0,0,1589810483.949046135
1589810483.989253044,1589803284.432801962,0,0,0,1589810483.989253044
1589810484.035182476,1589803284.440871954,0,0,0,1589810484.035182476
1589810484.036157608,1589803284.450086117,0,0,0,1589810484.036157608
1589810484.036157608,1589803284.458420992,0,0,0,1589810484.036157608
1589810484.036157608,1589803284.466964960,0,0,0,1589810484.036157608
1589810484.036157608,1589803284.475192070,0,0,0,1589810484.036157608
1589810484.036157608,1589803284.483120918,0,0,0,1589810484.036157608
1589810484.036157608,1589803284.491101980,0,0,0,1589810484.036157608
1589810484.036157608,1589803284.499032974,0,0,0,1589810484.036157608
1589810484.036157608,1589803284.507025003,0,0,0,1589810484.036157608
1589810484.068949938,1589803284.515238047,0,0,0,1589810484.068949938
1589810484.116877079,1589803284.523823977,0,0,0,1589810484.117757559
1589810484.194215536,1589803284.533121109,0,0,0,1589810484.194215536
1589810484.195222616,1589803284.541613102,0,0,0,1589810484.195222616
1589810484.195222616,1589803284.550651073,0,0,0,1589810484.195222616
1589810484.195222616,1589803284.558876038,0,0,0,1589810484.195222616
1589810484.195222616,1589803284.566936016,0,0,0,1589810484.195222616
1589810484.195222616,1589803284.574961901,0,0,0,1589810484.195222616
1589810484.195222616,1589803284.582956076,0,0,0,1589810484.195222616
1589810484.195222616,1589803284.591023922,0,0,0,1589810484.195222616
1589810484.195222616,1589803284.598947048,0,0,0,1589810484.195222616
1589810484.197221518,1589803284.606962919,0,0,0,1589810484.197221518
1589810484.197221518,1589803284.616358995,0,0,0,1589810484.197221518
1589810484.197221518,1589803284.624876022,0,0,0,1589810484.197221518
1589810484.197221518,1589803284.632953882,0,0,0,1589810484.197221518
1589810484.198222876,1589803284.641908884,0,0,0,1589810484.198222876
1589810484.198222876,1589803284.649916887,0,0,0,1589810484.198222876
1589810484.198222876,1589803284.657907963,0,0,0,1589810484.198222876
1589810484.198222876,1589803284.665939093,0,0,0,1589810484.198222876
1589810484.198222876,1589803284.673916101,0,0,0,1589810484.198222876
1589810484.274583817,1589803284.681916952,0,0,0,1589810484.274583817
1589810484.357219696,1589803284.691152096,0,0,0,1589810484.357219696
1589810484.357219696,1589803284.699585915,0,0,0,1589810484.357219696
1589810484.358213425,1589803284.707803011,0,0,0,1589810484.358213425
1589810484.358213425,1589803284.716836929,0,0,0,1589810484.358213425
1589810484.358213425,1589803284.725220919,0,0,0,1589810484.358213425
1589810484.358213425,1589803284.733398914,0,0,0,1589810484.358213425
1589810484.358213425,1589803284.741468906,0,0,0,1589810484.358213425
1589810484.358213425,1589803284.749625921,0,0,0,1589810484.358213425
1589810484.358213425,1589803284.757771015,0,0,0,1589810484.358213425
1589810484.358213425,1589803284.765886068,0,0,0,1589810484.358213425
1589810484.358213425,1589803284.775160074,0,0,0,1589810484.358213425
1589810484.358213425,1589803284.783582926,0,0,0,1589810484.358213425
1589810484.358213425,1589803284.792295933,0,0,0,1589810484.358213425
1589810484.358213425,1589803284.800584078,0,0,0,1589810484.358213425
1589810484.358213425,1589803284.808653116,0,0,0,1589810484.358213425
1589810484.358213425,1589803284.816793919,0,0,0,1589810484.358213425
1589810484.358213425,1589803284.824873924,0,0,0,1589810484.358213425
1589810484.358213425,1589803284.833655119,0,0,0,1589810484.358213425
1589810484.405219555,1589803284.841880083,0,0,0,1589810484.405219555
1589810484.440222979,1589803284.849890947,0,0,0,1589810484.440222979
1589810484.440222979,1589803284.859285116,0,0,0,1589810484.440222979
1589810484.440222979,1589803284.867645979,0,0,0,1589810484.440222979
1589810484.440222979,1589803284.876626015,0,0,0,1589810484.440222979
1589810484.440222979,1589803284.884884119,0,0,0,1589810484.440222979
1589810484.440222979,1589803284.892955065,0,0,0,1589810484.441213608
1589810484.441213608,1589803284.900960922,0,0,0,1589810484.441213608
1589810484.441213608,1589803284.908938885,0,0,0,1589810484.441213608
1589810484.441213608,1589803284.916956902,0,0,0,1589810484.441213608
1589810484.480219603,1589803284.924938917,0,0,0,1589810484.480219603
1589810484.521217823,1589803284.933505058,0,0,0,1589810484.521217823
1589810484.521217823,1589803284.943016052,0,0,0,1589810484.521217823
1589810484.521217823,1589803284.951334000,0,0,0,1589810484.521217823
1589810484.521217823,1589803284.959558964,0,0,0,1589810484.521217823
1589810484.521217823,1589803284.968657970,0,0,0,1589810484.521217823
1589810484.521217823,1589803284.976840019,0,0,0,1589810484.521217823
1589810484.521217823,1589803284.984853029,0,0,0,1589810484.521217823
1589810484.521217823,1589803284.992839098,0,0,0,1589810484.521217823
1589810484.521217823,1589803285.000838995,0,0,0,1589810484.521217823
1589810484.563169003,1589803285.008904934,0,0,0,1589810484.563169003
1589810484.607168436,1589803285.017117977,0,0,0,1589810484.607168436
1589810484.607168436,1589803285.026434898,0,0,0,1589810484.607168436
1589810484.607168436,1589803285.035249949,0,0,0,1589810484.607168436
1589810484.607168436,1589803285.044286013,0,0,0,1589810484.607168436
1589810484.607168436,1589803285.052630901,0,0,0,1589810484.607168436
