Before,After,Value
1589812022.212861776,1589812022.304307699,0
1589812027.304570436,1589812027.403782368,100
1589812032.404760599,1589812032.508787632,0
1589812037.508824825,1589812037.604488134,100
1589812042.604542017,1589812042.711233854,0
1589812047.711629152,1589812047.818053961,100
1589812052.818760157,1589812052.916514158,0
1589812057.917150021,1589812058.016073227,100
1589812063.016852379,1589812063.108447790,0
1589812068.109239817,1589812068.251031876,100
1589812073.251723528,1589812073.347094536,0
1589812078.347273111,1589812078.454581976,100
1589812083.455172300,1589812083.572580576,0
1589812088.573165655,1589812088.674868107,100
1589812093.674958706,1589812093.775791645,0
1589812098.775853395,1589812098.869988680,100
1589812103.870793819,1589812103.970041037,0
1589812108.970847607,1589812109.077317238,100
1589812114.078226805,1589812114.181004524,0
1589812119.181983948,1589812119.281135321,100
1589812124.281275988,1589812124.380378485,0
1589812129.380602837,1589812129.485548735,100
1589812134.485899687,1589812134.583931446,0
1589812139.584419489,1589812139.682368040,100
1589812144.683121443,1589812144.785778999,0
1589812149.785946131,1589812149.877178192,100
1589812154.877179384,1589812154.973673105,0
1589812159.974066973,1589812160.069135904,100
1589812165.069666624,1589812165.168778419,0
1589812170.168925524,1589812170.270384789,100
1589812175.271164894,1589812175.369975090,0
1589812180.370804787,1589812180.475861788,100
1589812185.476053715,1589812185.575413704,0
1589812190.576019526,1589812190.678472996,100
1589812195.679061174,1589812195.782588482,0
1589812200.783047438,1589812200.888409376,100
1589812205.888637781,1589812205.989365578,0
1589812210.990326643,1589812211.085973501,100
1589812216.086534977,1589812216.189194918,0
1589812221.189695120,1589812221.288553715,100
1589812226.288642645,1589812226.382568598,0
1589812231.382893085,1589812231.482774019,100
1589812236.483232021,1589812236.578962088,0
1589812241.579952240,1589812241.671363592,100
1589812246.671479225,1589812246.774522543,0
1589812251.775007010,1589812251.876500368,100
1589812256.877347231,1589812256.978324413,0
1589812261.978726625,1589812262.071735620,100
1589812267.072143793,1589812267.163815022,0
1589812272.164716721,1589812272.266048431,100
1589812277.266808987,1589812277.360375404,0
1589812282.360780716,1589812282.463077784,100
1589812287.463663101,1589812287.557847261,0
1589812292.558737516,1589812292.660917521,100
1589812297.661403418,1589812297.762281418,0
1589812302.762418270,1589812302.864328623,100
1589812307.865065098,1589812307.965852737,0
1589812312.966409445,1589812313.063561678,100
1589812318.064178467,1589812318.166106224,0
1589812323.166139841,1589812323.267218351,100
1589812328.267525911,1589812328.359019756,0
1589812333.359534502,1589812333.462435484,100
1589812338.462530375,1589812338.553783655,0
1589812343.554440737,1589812343.643834352,100
1589812348.644454956,1589812348.749359846,0
1589812353.750082254,1589812353.851826906,100
1589812358.852075815,1589812358.955900431,0
1589812363.956881046,1589812364.054625511,100
1589812369.055079937,1589812369.160171747,0
1589812374.161217213,1589812374.254515886,100
1589812379.254516840,1589812379.343674183,0
1589812384.344141245,1589812384.437962532,100
1589812389.438371658,1589812389.533939362,0
1589812394.534799576,1589812394.632484913,100
1589812399.633500338,1589812399.730255842,0
1589812404.731184483,1589812404.834611654,100
1589812409.835318327,1589812409.933231592,0
1589812414.933403730,1589812415.027939320,100
1589812420.028491020,1589812420.130972862,0
1589812425.130991459,1589812425.230116129,100
1589812430.230777502,1589812430.330728769,0
1589812435.330778360,1589812435.434582949,100
1589812440.435437679,1589812440.533348560,0
1589812445.534111023,1589812445.646537066,100
1589812450.647480488,1589812450.739801407,0
1589812455.740247726,1589812455.838703871,100
1589812460.839544058,1589812460.933013916,0
1589812465.933535337,1589812466.035665512,100
1589812471.035869360,1589812471.133531332,0
1589812476.133851290,1589812476.232952356,100
1589812481.233119726,1589812481.336517811,0
1589812486.336813927,1589812486.442480326,100
1589812491.442828178,1589812491.541099548,0
1589812496.542078733,1589812496.643358946,100
1589812501.643526077,1589812501.742058516,0
1589812506.742251873,1589812506.839488506,100
