Before,After,Value
1589827000.712663412,1589827000.810661793,100
1589827005.811652184,1589827005.908654451,0
1589827010.909682274,1589827011.009652138,100
1589827016.010651350,1589827016.112653017,0
1589827021.112728357,1589827021.215726614,100
1589827026.216402769,1589827026.315550089,0
1589827031.315889359,1589827031.403890610,100
1589827036.404830933,1589827036.505257130,0
1589827041.505852938,1589827041.611825228,100
1589827046.612501621,1589827046.711500406,0
1589827051.711501122,1589827051.818531275,100
1589827056.818533421,1589827056.921530724,0
1589827061.921995878,1589827062.021995544,100
1589827067.022550821,1589827067.127551079,0
1589827072.127826691,1589827072.227798700,100
1589827077.228822470,1589827077.321798325,0
1589827082.322828770,1589827082.419826508,100
1589827087.420586348,1589827087.512559175,0
1589827092.512965918,1589827092.611965179,100
1589827097.611965656,1589827097.711966038,0
1589827102.712966442,1589827102.813964367,100
1589827107.814476013,1589827107.932475805,0
1589827112.933476686,1589827113.025475979,100
1589827118.026474953,1589827118.114476204,0
1589827123.115475416,1589827123.212476969,100
1589827128.213476419,1589827128.310477495,0
1589827133.310497284,1589827133.414497852,100
1589827138.415437937,1589827138.510407686,0
1589827143.511414289,1589827143.611438990,100
1589827148.612438440,1589827148.706408739,0
1589827153.706436872,1589827153.808437109,100
1589827158.809165001,1589827158.902193069,0
1589827163.903174400,1589827163.999174595,100
1589827169.000173807,1589827169.110173941,0
1589827174.110174656,1589827174.210173607,100
1589827179.210231066,1589827179.310256720,0
1589827184.310311079,1589827184.406309605,100
1589827189.406310558,1589827189.503311157,0
1589827194.503312588,1589827194.599310875,100
1589827199.599310875,1589827199.699342012,0
1589827204.700192928,1589827204.797111750,100
1589827209.797622681,1589827209.896621943,0
1589827214.896622658,1589827214.991623640,100
1589827219.991624594,1589827220.080623150,0
1589827225.081622839,1589827225.175622463,100
1589827230.176622868,1589827230.287623644,0
1589827235.288623095,1589827235.389622688,100
1589827240.390622616,1589827240.491622925,0
1589827245.491623878,1589827245.592622995,100
1589827250.592624903,1589827250.695623636,0
