CommandTime,DeviceTime,ValueChanged,Value,LightChanged
1589825098.4374082,1589817899.453629,1589817899.453629,0.0,1589817899.893395
1589825103.5379665,1589817904.558261,1589817904.558261,100.0,1589817904.9720678
1589825108.641189,1589817909.660567,1589817909.660567,0.0,1589817910.049863
1589825113.751448,1589817914.7724018,1589817914.7724018,100.0,1589817915.137046
1589825118.8565855,1589817919.8786407,1589817919.8786407,0.0,1589817920.2170568
1589825123.9597523,1589817924.9797637,1589817924.9797637,100.0,1589817925.2927167
1589825129.067216,1589817930.082926,1589817930.082926,0.0,1589817930.375731
1589825134.1709964,1589817935.185602,1589817935.185602,100.0,1589817935.453555
1589825139.274237,1589817940.291744,1589817940.291744,0.0,1589817940.5373487
1589825144.3740442,1589817945.4045587,1589817945.4045587,100.0,1589817945.615654
1589825149.4731686,1589817950.50339,1589817950.50339,0.0,1589817950.697043
1589825154.5688055,1589817955.580414,1589817955.580414,100.0,1589817955.783099
1589825159.6725132,1589817960.69449,1589817960.69449,0.0,1589817960.8629858
1589825164.76924,1589817965.7846067,1589817965.7846067,100.0,1589817965.944782
1589825169.8672962,1589817970.882371,1589817970.882371,0.0,1589817971.027384
1589825174.96885,1589817975.987838,1589817975.987838,100.0,1589817976.113569
1589825180.064645,1589817981.0795567,1589817981.0795567,0.0,1589817981.19582
1589825185.1645856,1589817986.190997,1589817986.190997,100.0,1589817986.2750247
1589825190.2637742,1589817991.276097,1589817991.276097,0.0,1589817991.3602908
1589825195.3614798,1589817996.376616,1589817996.376616,100.0,1589817996.944617
1589825200.464923,1589818001.49182,1589818001.49182,0.0,1589818002.025578
1589825205.5636947,1589818006.576647,1589818006.576647,100.0,1589818007.109328
1589825210.658403,1589818011.6754668,1589818011.6754668,0.0,1589818012.190866
1589825215.763277,1589818016.7872221,1589818016.7872221,100.0,1589818017.269983
1589825220.8668127,1589818021.8908358,1589818021.8908358,0.0,1589818022.352104
1589825225.9650483,1589818026.983693,1589818026.983693,100.0,1589818027.436395
1589825231.049823,1589818032.066126,1589818032.066126,0.0,1589818032.518629
1589825236.1449978,1589818037.158421,1589818037.158421,100.0,1589818037.5969267
1589825241.2406282,1589818042.2557797,1589818042.2557797,0.0,1589818042.679106
1589825246.3375971,1589818047.354432,1589818047.354432,100.0,1589818047.761032
1589825251.4297178,1589818052.4538438,1589818052.4538438,0.0,1589818052.843099
1589825256.5283277,1589818057.55924,1589818057.55924,100.0,1589818057.923059
1589825261.6389468,1589818062.6562467,1589818062.6562467,0.0,1589818063.0068
