CommandTime,DeviceTime,LogTime,Value,FormerValue
1589809287.8621402,1589802093.406681,1589809293.0095584,3.0,4.0
1589809307.9601178,1589802125.426248,1589809325.016813,1.0,3.0
1589809348.1699972,1589802148.566387,1589809348.2200766,0.0,2.0
1589809368.2865164,1589802169.150319,1589809368.7342887,2.0,0.0
1589809388.3797452,1589802189.4776978,1589809389.0506594,0.0,2.0
1589809428.5835357,1589802240.4164968,1589809440.0414333,2.0,0.0
1589809468.7812595,1589802269.787997,1589809469.4372594,4.0,2.0
1589809508.9893184,1589802313.579408,1589809513.192517,3.0,4.0
1589809529.0983315,1589802330.276384,1589809529.8641312,4.0,3.0
1589809569.2820268,1589802370.448332,1589809570.0632439,0.0,4.0
1589809589.3827226,1589802392.1957262,1589809591.810818,1.0,0.0
1589809629.610525,1589802430.42716,1589809630.0319326,0.0,1.0
1589809649.7209446,1589802450.768648,1589809650.3865776,4.0,0.0
1589809669.8648477,1589802477.194371,1589809676.7838466,3.0,4.0
1589809689.956035,1589802490.3659308,1589809689.986041,4.0,3.0
1589809710.0599644,1589802525.96199,1589809725.5372627,3.0,4.0
1589809770.3545158,1589802585.9948702,1589809785.6843808,2.0,3.0
1589809790.4557703,1589802591.51692,1589809791.0809236,4.0,2.0
1589809810.5873632,1589802611.846385,1589809811.4365375,0.0,4.0
1589809830.690312,1589802631.662847,1589809831.3062708,3.0,0.0
1589809870.902014,1589802671.35556,1589809870.977816,4.0,2.0
1589809911.1145763,1589802722.0337727,1589809921.6414087,3.0,4.0
1589809931.2081964,1589802742.0089722,1589809941.61337,1.0,3.0
1589809951.3163402,1589802752.138073,1589809951.7399073,3.0,1.0
1589809971.4144957,1589802774.505579,1589809974.1264346,2.0,3.0
1589809991.5143716,1589802792.797342,1589809992.446798,0.0,2.0
1589810011.6159234,1589802812.618696,1589810012.1907809,3.0,0.0
1589810051.8330534,1589802852.250949,1589810051.8480527,4.0,1.0
1589810071.933205,1589802877.671033,1589810077.2720575,1.0,4.0
1589810092.027641,1589802892.914094,1589810092.4613974,3.0,1.0
