CommandTime,DeviceTime,ValueChanged,Value,LightChanged
1589825404.431406,1589818205.473624,1589825404.6494184,0.0,1589825404.9434364
1589825409.524909,1589818210.540008,1589825409.7280252,100.0,1589825410.0130105
1589825414.6410387,1589818215.6564908,1589825414.8680396,0.0,1589825415.0811098
1589825419.734051,1589818220.7558787,1589825419.899331,100.0,1589825420.1982467
1589825424.8394291,1589818225.8634207,1589825425.106514,0.0,1589825425.2669232
1589825429.9361043,1589818230.951563,1589825430.1112044,100.0,1589825430.353266
1589825435.029261,1589818236.0556762,1589825435.2639182,0.0,1589825435.4244761
1589825440.1448286,1589818241.1675558,1589825440.3092356,100.0,1589825440.521399
1589825445.2525978,1589818246.276163,1589825445.454891,0.0,1589825445.575251
1589825450.3608696,1589818251.3836067,1589825450.5747292,100.0,1589825450.703003
1589825455.4625306,1589818256.488732,1589825455.6261837,0.0,1589825455.8003647
1589825460.5690396,1589818261.6183248,1589825460.7627828,100.0,1589825461.3478158
1589825465.67092,1589818266.6940536,1589825465.8560584,0.0,1589825466.4403567
1589825470.7689185,1589818271.792763,1589825470.9957635,100.0,1589825471.5116868
1589825475.8715012,1589818276.8992922,1589825476.0992131,0.0,1589825476.648999
1589825480.9679883,1589818281.9846108,1589825481.1471143,100.0,1589825481.7188833
1589825486.0633504,1589818287.088218,1589825486.2225783,0.0,1589825486.7629704
1589825491.1602368,1589818292.188073,1589825491.355632,100.0,1589825491.8159342
1589825496.2497725,1589818297.277737,1589825496.4420364,0.0,1589825496.926397
1589825501.3397465,1589818302.359761,1589825501.5372033,100.0,1589825501.964546
1589825506.448007,1589818307.4744658,1589825506.6856391,0.0,1589825507.070763
1589825511.545957,1589818312.569032,1589825511.769672,100.0,1589825512.129588
1589825516.6663811,1589818317.690462,1589825516.8704205,0.0,1589825517.2584064
1589825521.7683167,1589818322.800929,1589825522.0512092,100.0,1589825522.3044355
1589825526.8779948,1589818327.8968818,1589825527.045269,0.0,1589825527.41011
1589825531.976994,1589818332.999616,1589825532.1791708,100.0,1589825532.4627104
1589825537.0763507,1589818338.103888,1589825537.2808144,0.0,1589825537.564459
1589825542.1743836,1589818343.204823,1589825542.3468702,100.0,1589825542.6273727
1589825547.2750692,1589818348.304222,1589825547.4382348,0.0,1589825547.735943
1589825552.3804953,1589818353.4110928,1589825552.642176,100.0,1589825552.7850277
1589825557.4762442,1589818358.5015028,1589825557.6855526,0.0,1589825557.9364076
1589825562.5770535,1589818363.5984578,1589825562.8017488,100.0,1589825562.9615257
1589825567.6799302,1589818368.7048602,1589825567.8318524,0.0,1589825568.0376098
1589825572.7795742,1589818373.797964,1589825572.9262156,100.0,1589825573.174372
1589825577.8830068,1589818378.9164627,1589825578.068326,0.0,1589825578.2295363
1589825582.9803703,1589818384.0128047,1589825583.2124944,100.0,1589825583.3405676
1589825588.0742457,1589818389.100063,1589825588.3014402,0.0,1589825588.399728
1589825593.1670706,1589818394.187381,1589825593.397685,100.0,1589825593.406685
1589825598.2593632,1589818399.277763,1589825598.4681475,0.0,1589825598.5465996
1589825603.3519151,1589818404.3752198,1589825603.522884,100.0,1589825603.6447706
1589825608.4496288,1589818409.477421,1589825608.6108935,0.0,1589825609.243098
1589825613.5521255,1589818414.581385,1589825613.715173,100.0,1589825614.2676086
1589825618.6519167,1589818419.673751,1589825618.843945,0.0,1589825619.389752
1589825623.7628422,1589818424.7904541,1589825623.9542086,100.0,1589825624.492047
1589825628.8625124,1589818429.8920782,1589825629.0282247,0.0,1589825629.5741658
1589825633.950996,1589818434.974515,1589825634.097351,100.0,1589825634.649749
1589825639.0509343,1589818440.098742,1589825639.2337332,0.0,1589825639.6949215
1589825644.1347654,1589818445.1584127,1589825644.322439,100.0,1589825644.7694547
1589825649.2366471,1589818450.27285,1589825649.456649,0.0,1589825649.8466482
1589825654.3330944,1589818455.359818,1589825654.4970746,100.0,1589825654.8779624
1589825659.4245882,1589818460.447229,1589825659.5996273,0.0,1589825660.0036583
1589825664.5288334,1589818465.561358,1589825664.766472,100.0,1589825665.1578093
1589825669.6339974,1589818470.671444,1589825669.8414426,0.0,1589825670.206896
1589825674.7296348,1589818475.7650259,1589825674.896411,100.0,1589825675.273459
1589825679.830413,1589818480.861899,1589825680.0148244,0.0,1589825680.3581734
1589825684.92857,1589818485.9538074,1589825685.088619,100.0,1589825685.4286108
1589825690.0352619,1589818491.0661807,1589825690.2200353,0.0,1589825690.5090144
1589825695.131546,1589818496.168791,1589825695.33964,100.0,1589825695.6037178
1589825700.2286668,1589818501.256043,1589825700.4017308,0.0,1589825700.7013068
1589825705.32116,1589818506.3547802,1589825705.52116,100.0,1589825705.763159
1589825710.4197218,1589818511.4571068,1589825710.6242292,0.0,1589825710.8282282
1589825715.5330703,1589818516.57147,1589825715.747694,100.0,1589825715.9117308
1589825720.6345658,1589818521.665661,1589825720.8457427,0.0,1589825720.990742
1589825725.7264748,1589818526.750431,1589825725.951675,100.0,1589825726.0746746
1589825730.8236468,1589818531.8518898,1589825731.0566468,0.0,1589825731.190813
1589825735.9067044,1589818536.944003,1589825736.1285422,100.0,1589825736.2511027
1589825741.0031486,1589818542.049085,1589825741.1922445,0.0,1589825741.315763
1589825746.0962796,1589818547.1287887,1589825746.3232417,100.0,1589825746.359458
1589825751.1923091,1589818552.218225,1589825751.3770938,0.0,1589825751.5119703
1589825756.3093894,1589818557.3464007,1589825756.542256,100.0,1589825757.022581
1589825761.4081972,1589818562.4329882,1589825761.5672286,0.0,1589825762.115854
1589825766.5124288,1589818567.5403779,1589825766.716421,100.0,1589825767.2224953
1589825771.6146832,1589818572.650726,1589825771.8192413,0.0,1589825772.322437
1589825776.714375,1589818577.7408028,1589825776.9312124,100.0,1589825777.3616421
1589825781.8133671,1589818582.839866,1589825781.966414,0.0,1589825782.4660509
1589825786.9034963,1589818587.925072,1589825787.0689306,100.0,1589825787.5310977
1589825792.006146,1589818593.0355709,1589825792.2576594,0.0,1589825792.6106315
1589825797.1083314,1589818598.1451483,1589825797.3217092,100.0,1589825797.7134783
1589825802.2125466,1589818603.246407,1589825802.4464676,0.0,1589825802.7370882
1589825807.3153446,1589818608.3401906,1589825807.4940646,100.0,1589825807.8290663
1589825812.413291,1589818613.438851,1589825812.637527,0.0,1589825812.9107447
1589825817.5163836,1589818618.550431,1589825817.7453027,100.0,1589825818.0638764
1589825822.6123927,1589818623.6531162,1589825822.792915,0.0,1589825823.0965822
1589825827.7105117,1589818628.7453268,1589825827.8862205,100.0,1589825828.1936574
1589825832.8044028,1589818633.8322098,1589825832.996106,0.0,1589825833.2361956
1589825837.9075153,1589818638.9450607,1589825838.101208,100.0,1589825838.3521852
1589825843.0201614,1589818644.0578682,1589825843.209734,0.0,1589825843.336873
1589825848.1231098,1589818649.155404,1589825848.3171108,100.0,1589825848.479109
1589825853.2247949,1589818654.2775102,1589825853.3847952,0.0,1589825853.5527945
1589825858.3260503,1589818659.361593,1589825858.559747,100.0,1589825858.5907469
1589825863.4280806,1589818664.45909,1589825863.6380804,0.0,1589825864.2040403
1589825868.522007,1589818669.5547948,1589825868.7701054,100.0,1589825869.2682607
1589825873.6263793,1589818674.654752,1589825873.8473773,0.0,1589825874.3183784
1589825878.7313788,1589818679.764878,1589825878.8873794,100.0,1589825879.457379
1589825883.8313785,1589818684.856626,1589825884.0143783,0.0,1589825884.4873786
1589825888.9178867,1589818689.9473958,1589825889.0948877,100.0,1589825889.5978858
1589825894.0338864,1589818695.0661948,1589825894.2338874,0.0,1589825894.6398861
1589825899.1171858,1589818700.145782,1589825899.2946563,100.0,1589825899.7449687
1589825904.2194939,1589818705.2501807,1589825904.4175322,0.0,1589825904.8007452
1589825909.3227994,1589818710.367989,1589825909.5742476,100.0,1589825909.893734
1589825914.4241664,1589818715.456078,1589825914.6109402,0.0,1589825914.9851577
1589825919.5571587,1589818720.59382,1589825919.7572143,100.0,1589825920.0322866
1589825924.6528015,1589818725.7008429,1589825924.8648012,0.0,1589825925.1198015
1589825929.7528002,1589818730.792202,1589825929.9587996,100.0,1589825930.2408013
1589825934.8490624,1589818735.8768547,1589825935.0363111,0.0,1589825935.2893043
1589825939.957127,1589818740.9997892,1589825940.1863334,100.0,1589825940.3423421
1589825945.064975,1589818746.093571,1589825945.219948,0.0,1589825945.448949
1589825950.1499474,1589818751.188873,1589825950.3479476,100.0,1589825950.5129488
1589825955.2449667,1589818756.282681,1589825955.4339666,0.0,1589825955.6189678
1589825960.3449667,1589818761.375147,1589825960.5279675,100.0,1589825960.6849678
1589825965.4446015,1589818766.4859807,1589825965.6834168,0.0,1589825965.8113906
1589825970.5389714,1589818771.567891,1589825970.720674,100.0,1589825970.8799393
1589825975.65451,1589818776.699341,1589825975.930957,0.0,1589825976.4290419
1589825980.7605612,1589818781.797622,1589825981.0045612,100.0,1589825981.5035613
1589825985.85856,1589818786.891545,1589825986.11256,0.0,1589825986.5595596
1589825990.956901,1589818791.9920123,1589825991.163901,100.0,1589825991.6759965
